"R","Metodo","mu1","mu2","mu3","sigma1","sigma2","sigma3","p1","p2","p3","tempo"
25,"MCMC",0.9850064345,3.8220310725,6.8624921,1.039428452625,1.00655232325,1.10887751775,0.334207812,0.307641816875,0.358150371,44.8371391296387
26,"EM",1.06568757262405,3.74466698334371,6.68497051494686,1.00750382792305,0.714137665657449,1.24326799222601,0.360374393038971,0.237194733379515,0.402430873581513,0.406677007675171
26,"MCMC",1.00665849925,3.8366557275,6.869056635,0.992741817125,0.978346872875,1.14943204925,0.337149477,0.3065045746,0.35634595285,46.8389649391174
27,"EM",1.1459800306206,4.23744207422305,7.06204864383634,1.02843198754139,0.880623774173409,0.833291117576054,0.332964843119946,0.325340315951621,0.341694840928433,0.194396018981934
27,"MCMC",1.099033471,4.23114474625,7.09080735625,1.0167112995,1.00248769225,0.827881387125,0.319048418375,0.35210850025,0.328843081375,47.6922390460968
28,"EM",0.837971232438822,3.99832470721109,7.11754804210815,0.983211093883004,1.13110303667346,1.00442856624306,0.28613949938176,0.379945401464874,0.333915099153366,0.160445928573608
28,"MCMC",0.7990384795,3.98902865125,7.14866119125,0.95771937475,1.326052000875,1.0029156045,0.26368509495,0.423708345125,0.31260657025,47.0013499259949
29,"EM",0.92224835031267,3.90246043904985,6.97528456946519,1.04475320220144,0.897666899120515,1.06680073425364,0.321220468949664,0.296251174992899,0.382528356057437,0.14665699005127
29,"MCMC",0.8713059875,3.8958762925,7.0120193825,1.0324986605,1.050018821125,1.057930448,0.3049095886,0.327684563125,0.367405845375,42.5581068992615
30,"EM",1.03891439597383,3.97281515802002,6.93884937312782,1.01039236464061,0.859295431098989,0.966131637726492,0.311129072104767,0.351767720748074,0.337103207147159,0.0590341091156006
30,"MCMC",1.037417203,3.97381025125,6.94429671375,1.023539953125,0.91127870675,0.973312335125,0.3080405105,0.358265218,0.33369427775,37.6701591014862
31,"EM",0.678712842468179,4.18630852358776,7.30102181878997,0.891004823538436,1.90018269009981,0.791964926733325,0.209449354340622,0.581332905138241,0.209217740521137,0.0366580486297607
31,"MCMC",0.952703270375,3.99650566125,6.9853154825,1.03148066625,1.060879350625,1.021216410375,0.303828081875,0.352472462625,0.3436994558375,43.720654964447
32,"EM",1.13123916730268,4.00265380064906,7.02721244972325,1.02786275108912,0.96921746681195,0.944303231644189,0.351380869393244,0.330525288109492,0.318093842497265,0.20415186882019
32,"MCMC",1.082366900125,3.95390487,7.03897704875,1.018766006625,1.10647834025,0.952237494625,0.33041146895,0.360476725,0.309111807,46.3391888141632
33,"EM",1.03886060295001,4.0620130262081,7.01773938030648,1.02436493769778,0.987132496172594,1.02112718797601,0.337008397682028,0.340994988343691,0.321996613974282,0.162823915481567
33,"MCMC",1.0108305295,4.0672200525,7.0443317,1.0258261175,1.11622343925,1.0253012185,0.32392023895,0.367275996,0.3088037677125,43.4499208927155
34,"EM",0.826328616437198,3.77849092505916,6.90529411382412,0.993298292763125,0.939535960054295,1.09617282804512,0.317532139755138,0.282064842703053,0.400403017541809,0.108211040496826
34,"MCMC",0.786752714125,3.7801332575,6.94633918375,0.986585656875,1.096459515125,1.087674094125,0.302445402,0.31354406975,0.384010522,43.9524910449982
35,"EM",0.982349122775397,3.93442330246393,7.01146225806612,1.02981524462096,0.863009283263534,1.00140614776654,0.350468710735619,0.285777081852398,0.363754207411983,0.11972188949585
35,"MCMC",0.928912296375,3.92112603125,7.0542206675,1.01583855025,1.013141483125,0.98846293225,0.332911560625,0.3182098205,0.3488786225,44.3475761413574
36,"EM",0.720213209243966,4.08970181043322,7.26012294510103,0.910332535145713,1.36668946435268,0.858747086545423,0.28816030725129,0.418119858525867,0.293719834222843,0.196998834609985
